time,height [m],boom pos [encoder val],accel x [m/s^2],accel y [m/s^2],accel z [m/s^2],gyro x [rad/s],gyro y [rad/s],gyro z [rad/s],mag x [uT],mag y [uT],mag z [uT],th_ul [deg],th_ur [deg],dth_ul [deg/s],dth_ur [deg/s]
1607954342.6525416,0.222,0,-9.69701099395752,0.19872887432575226,0.19633454084396362,-0.0001597920199856162,-0.0006724577397108078,0.00021705098333768547,18.517459869384766,33.694091796875,-46.14839553833008,114.21,26.73,0.0,0.0
1607954342.6567554,0.221,0,-9.713770866394043,0.20351751148700714,0.1771799474954605,-0.0004261121794115752,-0.0009387779282405972,0.00048337114276364446,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.73,0.0,0.0
1607954342.6607103,0.221,0,-9.713770866394043,0.2202777862548828,0.17239131033420563,-0.0006924323388375342,-0.0006724577397108078,0.00021705098333768547,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.73,0.0,0.0
1607954342.6647444,0.221,0,-9.713770866394043,0.2202777862548828,0.17239131033420563,-0.0006924323388375342,-0.0006724577397108078,0.00021705098333768547,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.73,0.0,0.0
1607954342.6687753,0.222,0,-9.713770866394043,0.2202777862548828,0.17239131033420563,-0.0006924323388375342,-0.0006724577397108078,0.00021705098333768547,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.73,0.0,0.0
1607954342.6727097,0.222,0,-9.713770866394043,0.2202777862548828,0.17239131033420563,-0.0006924323388375342,-0.0006724577397108078,0.00021705098333768547,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.73,0.0,0.0
1607954342.6767097,0.222,0,-9.713770866394043,0.2202777862548828,0.17239131033420563,-0.0006924323388375342,-0.0006724577397108078,0.00021705098333768547,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.73,0.0,0.0
1607954342.6807275,0.222,0,-9.692222595214844,0.1891515702009201,0.16041968762874603,0.00010652813944034278,0.0006591430283151567,0.00048337114276364446,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.73,0.0,0.0
1607954342.684741,0.219,0,-9.692222595214844,0.1891515702009201,0.16041968762874603,0.00010652813944034278,0.0006591430283151567,0.00048337114276364446,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.73,0.0,0.0
1607954342.6951795,0.219,0,-9.692222595214844,0.1891515702009201,0.16041968762874603,0.00010652813944034278,0.0006591430283151567,0.00048337114276364446,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.73,0.0,0.0
1607954342.6987,0.219,0,-9.689827919006348,0.18436291813850403,0.18675725162029266,-0.0006924323388375342,0.0006591430283151567,0.00021705098333768547,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.73,0.0,0.0
1607954342.7031314,0.224,0,-9.689827919006348,0.18436291813850403,0.18675725162029266,-0.0006924323388375342,0.0006591430283151567,0.00021705098333768547,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.73,0.0,0.0
1607954342.708748,0.224,0,-9.689827919006348,0.18436291813850403,0.18675725162029266,-0.0006924323388375342,0.0006591430283151567,0.00021705098333768547,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.73,0.0,0.0
1607954342.7127113,0.224,0,-9.689827919006348,0.18436291813850403,0.18675725162029266,-0.0006924323388375342,0.0006591430283151567,0.00021705098333768547,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.73,0.0,0.0
1607954342.7167995,0.224,0,-9.689827919006348,0.18436291813850403,0.18675725162029266,-0.0006924323388375342,0.0006591430283151567,0.00021705098333768547,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.73,0.0,0.0
1607954342.7207856,0.219,0,-9.687433242797852,0.19154590368270874,0.17239131033420563,0.00010652813944034278,0.0009254631586372852,0.00021705098333768547,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.73,0.0,0.0
1607954342.7247171,0.219,0,-9.687433242797852,0.19154590368270874,0.17239131033420563,0.00010652813944034278,0.0009254631586372852,0.00021705098333768547,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.73,0.0,0.0
1607954342.7287378,0.219,0,-9.687433242797852,0.19154590368270874,0.17239131033420563,0.00010652813944034278,0.0009254631586372852,0.00021705098333768547,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.73,0.0,0.0
1607954342.732743,0.219,0,-9.687433242797852,0.19154590368270874,0.17239131033420563,0.00010652813944034278,0.0009254631586372852,0.00021705098333768547,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.73,0.0,0.0
1607954342.7372656,0.219,0,-9.687433242797852,0.19154590368270874,0.17239131033420563,0.00010652813944034278,0.0009254631586372852,0.00021705098333768547,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.73,0.0,0.0
1607954342.7427301,0.22,0,-9.689827919006348,0.20351751148700714,0.2011231929063797,0.0006391684291884303,0.0003928228688891977,-0.0003155893355142325,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.82,0.0,33.75
1607954342.7467244,0.22,0,-9.689827919006348,0.20351751148700714,0.2011231929063797,0.0006391684291884303,0.0003928228688891977,-0.0003155893355142325,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.82,0.0,0.0
1607954342.7507737,0.22,0,-9.689827919006348,0.20351751148700714,0.2011231929063797,0.0006391684291884303,0.0003928228688891977,-0.0003155893355142325,18.161354064941406,33.694091796875,-46.14839553833008,114.21,26.82,0.0,0.0
